model,query_variant_strategy,video_id,queries,mean_top1_iou,mean_best_iou_at_k,recall_top1_iou_030,recall_at_k_iou_030,recall_at_k_iou_050
CG-DETR,raw_vlm,6,7,0.3200007186689873,0.38595808660655345,0.42857142857142855,0.5714285714285714,0.42857142857142855
CG-DETR,cleaned,6,7,0.3192972992429795,0.3852546671805456,0.42857142857142855,0.5714285714285714,0.42857142857142855
CG-DETR,the_video_shows,6,7,0.30665289328618606,0.3586117154701354,0.42857142857142855,0.42857142857142855,0.2857142857142857
CG-DETR,screen_text,6,7,0.29965874273786136,0.37331099546284957,0.42857142857142855,0.5714285714285714,0.42857142857142855
CG-DETR,short_action,6,7,0.29965874273786136,0.37331099546284957,0.42857142857142855,0.5714285714285714,0.42857142857142855
CG-DETR,find_moment,6,7,0.24098733214210583,0.35919766794785385,0.2857142857142857,0.42857142857142855,0.42857142857142855
Moment-DETR,cleaned,6,7,0.16912926827845162,0.29055164104951015,0.2857142857142857,0.42857142857142855,0.2857142857142857
Moment-DETR,raw_vlm,6,7,0.16503593666182173,0.2864583094328802,0.2857142857142857,0.42857142857142855,0.2857142857142857
Moment-DETR,the_video_shows,6,7,0.16288725109749597,0.26237713420629205,0.2857142857142857,0.42857142857142855,0.2857142857142857
Moment-DETR,find_moment,6,7,0.15480525650280227,0.24908228996528178,0.2857142857142857,0.42857142857142855,0.2857142857142857
Moment-DETR,screen_text,6,7,0.09413058714960136,0.2978789364769186,0.14285714285714285,0.42857142857142855,0.42857142857142855
Moment-DETR,short_action,6,7,0.09413058714960136,0.2978789364769186,0.14285714285714285,0.42857142857142855,0.42857142857142855
QD-DETR,find_moment,6,7,0.0926452631403409,0.0926452631403409,0.14285714285714285,0.14285714285714285,0.14285714285714285
QD-DETR,cleaned,6,7,0.0888384070551586,0.0888384070551586,0.14285714285714285,0.14285714285714285,0.14285714285714285
QD-DETR,raw_vlm,6,7,0.08621606119384032,0.08621606119384032,0.14285714285714285,0.14285714285714285,0.14285714285714285
QD-DETR,screen_text,6,7,0.08552415458305776,0.08552415458305776,0.14285714285714285,0.14285714285714285,0.14285714285714285
QD-DETR,short_action,6,7,0.08552415458305776,0.08552415458305776,0.14285714285714285,0.14285714285714285,0.14285714285714285
QD-DETR,the_video_shows,6,7,0.08127819767321207,0.08127819767321207,0.14285714285714285,0.14285714285714285,0.14285714285714285
