model,query_variant_strategy,video_id,queries,mean_top1_iou,mean_best_iou_at_k,recall_top1_iou_030,recall_at_k_iou_030,recall_at_k_iou_050
CG-DETR,raw_vlm,6,7,0.3200007186689873,0.38595808660655345,0.42857142857142855,0.5714285714285714,0.42857142857142855
Moment-DETR,screen_text,6,7,0.09413058714960136,0.2978789364769186,0.14285714285714285,0.42857142857142855,0.42857142857142855
QD-DETR,find_moment,6,7,0.0926452631403409,0.0926452631403409,0.14285714285714285,0.14285714285714285,0.14285714285714285
